id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	coupon	partner_coupon_download	interest_free_event	point	installation_costs	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	class	update_time
PJP201814	[부관훼리] 도란도란 겨울 오뎅(おでん)투어 2박3일	149000	149000		http://ntabi.kr/Event/odentour	http://ntabi.kr/Event/odentour	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/PJP20181420181291742334080.jpg		일본	큐슈	패키지	부관훼리	50001645												엔타비				인생술집1탄 | 부관훼리 2박3일 | 선내2박 | 관동식 오뎅 전문점 오타코 | 추천오뎅메뉴 3종 제공 | 20명 한정 | 겨울한정 도란도란 기타규슈 패키지 여행						겨울일본여행 | 부관훼리 | 오뎅투어 | 인생술집 | 일본맛집 | 고쿠라 | 고쿠라맛집 | 모지코 | 시모노세키 | 규슈여행 | 부산출발선박여행 | 부산출발일본여행 | 성희호 | 하마유호 | 관동식오뎅 | 오뎅맛집오타코 | 오타코 | 고쿠라 오타코						0			부관훼리 선내 1회용 슬리퍼 증정 ^ 관동식 오뎅맛집 오타코 추천 오뎅 3종셋트 제공 ^ 한국인 인솔자 동행 ^ 전용차량 패키지					I	2018-02-06 10:07:00
1JP2016332 	★날짜 한정★ 초특급특가!!선박온리! 카멜리아 2박3일	64300	64300		http://www.ntabi.co.kr/Product/Views?k=1JP2016332	http://www.ntabi.co.kr/Product/Views?k=1JP2016332	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP2016332201710181447204384.jpg		일본	큐슈	자유여행	카멜리아	50001645												엔타비				후쿠오카|자유여행|성인 1인기준|왕복 승선권|선내 1박|2박3일| 3/4,3/14,3/18,4/12,4/17,4/22,5/8,5/13|부산발유류부두세포함|하카타발 유류부두세 불포함						후쿠오카|큐슈|사가|나가사키|우레시노|구마모토|유후인|벳부|다자이후|카멜리아|후쿠오카타워|						0			큐슈 책자증정					I	2018-02-07 15:20:00
1JP2016333 	★날짜 한정★ 초특급특가!!선박온리! 카멜리아 3박4일	64300	64300		http://www.ntabi.co.kr/Product/Views?k=1JP2016333	http://www.ntabi.co.kr/Product/Views?k=1JP2016333	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP2016333201710181448126750.jpg		일본	큐슈	자유여행	카멜리아	50001645												엔타비				후쿠오카|자유여행|성인 1인기준|왕복 승선권|선내 1박|2박3일| 3/4,3/14,3/18,4/12,4/17,4/22,5/8,5/13|부산발유류부두세포함|하카타발 유류부두세 불포함						후쿠오카|큐슈|사가|나가사키|우레시노|구마모토|유후인|벳부|다자이후|카멜리아|후쿠오카타워|						0			큐슈 책자증정					I	2018-02-07 15:20:00
1JP2017575	[버스투어]카멜리아 + 다자이후/유후인/벳부 일일 버스투어 2박3일	109000	109000		http://www.ntabi.co.kr/Product/Views?k=1JP2017575	http://www.ntabi.co.kr/Product/Views?k=1JP2017575	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP2017575201711101440206899.jpg		일본	큐슈	현지투어	카멜리아	50001645												엔타비				"후쿠오카|자유여행|성인 1인기준|왕복 승선권|선내 1박|2박3일|일일버스투어|한국인 길라잡이|해피백증정|왕복유류부두세 불포함(현지지불)|3/4,3/5"						후쿠오카|큐슈|유후인|벳부|다자이후|카멜리아|온천|가마도지옥 온천|일일 버스투어|유노하나|						0			큐슈 책자증정 ^ 돈키호테쿠폰 ^ 해피백 먹방패키지					I	2018-02-07 15:20:00
1JP2016115 	[사가현 타케오] 1300년 역사의 온천마을 타케오 올레 카멜리아 3박4일	208000	208000		http://www.ntabi.co.kr/Product/Views?k=1JP2016115	http://www.ntabi.co.kr/Product/Views?k=1JP2016115	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20161152016681555429671.jpg		일본	큐슈	자유여행	카멜리아	50001645												엔타비				"후쿠오카|자유여행|성인 1인기준|왕복 승선권|선내 1박|3박4일|온천 1박|왕복유류부두세 불포함(현지지불)|3/4,3/5"						후쿠오카|큐슈|사가|다케오|올레|온천|카멜리아|로몬|미후네야마 낙원|히류가마|						0			큐슈 책자증정 ^ 돈키호테쿠폰 ^ 110V 어댑터 ^ 선내 슬리퍼					I	2018-02-07 15:20:00
1JP2016576 	"팬스타 크루즈 여행 ♥ 4박5일 ★일, 화출발★"	79000	79000		http://www.ntabi.co.kr/Product/Views?k=1JP2016576	http://www.ntabi.co.kr/Product/Views?k=1JP2016576	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP201657620172161618545241.jpg		일본	오사카	자유여행	팬스타	50001645												엔타비				"오사카|2월 출발|3월출발|자유여행|성인 1인기준|왕복 승선권|선내 2박|4박5일|부산발유류부두세 포함|오사카발유류부두세불포함(현지지불)|3/4,3/6"						오사카|교토|나라|고베|팬스타|도톤보리|오사카성|히메지성|가이유칸|유니버셜스튜디오|오사카주택박물관|사슴공원|난바|신사이바시|우메다|금각사|청수사						0			오사카 책자증정 ^ 돈키호테쿠폰 ^ 110V 어댑터 ^ 선내 슬리퍼					I	2018-02-07 15:20:00
1JP201691  	팬스타 크루즈 여행 ♥ 5박6일 ★목출발★	89000	89000		http://www.ntabi.co.kr/Product/Views?k=1JP201691	http://www.ntabi.co.kr/Product/Views?k=1JP201691	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20169120168261717441588.jpg		일본	오사카	자유여행	팬스타	50001645												엔타비				"오사카|2월 출발|3월출발|자유여행|성인 1인기준|왕복 승선권|선내 2박|5박6일|부산발유류부두세 포함|오사카발유류부두세불포함(현지지불)|3/15,3/29"						오사카|교토|나라|고베|팬스타|도톤보리|오사카성|히메지성|가이유칸|유니버셜스튜디오|오사카주택박물관|사슴공원|난바|신사이바시|우메다|금각사|청수사						0			오사카 책자증정 ^ 돈키호테쿠폰 ^ 110V 어댑터 ^ 선내 슬리퍼					I	2018-02-07 15:20:00
1JP2016337 	[팬스타 왕복승선권 + 호텔 + 료칸] 자유여행★	257100	257100		http://www.ntabi.co.kr/Product/Views?k=1JP2016337	http://www.ntabi.co.kr/Product/Views?k=1JP2016337	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP2016337201738177356287.jpg		일본	오사카	자유여행	팬스타	50001645												엔타비				"오사카|2월 출발|3월출발|자유여행|성인 1인기준|왕복 승선권|선내 2박|4박5일|호텔 1박|료칸 1박|부산발유류부두세 포함|오사카발유류부두세불포함(현지지불)|3/4,3/6"						오사카|교토|나라|팬스타|도톤보리|오사카성|가이유칸|유니버셜스튜디오|사슴공원|난바|신사이바시|우메다|금각사|청수사|료칸|후시오카쿠|온천						0			오사카 책자증정 ^ 돈키호테쿠폰 ^ 110V 어댑터 ^ 선내 슬리퍼					I	2018-02-07 15:20:00
1JP2016133 	[고쿠라 특집!!] 부관훼리 2박3일 자유여행	77000	77000		http://www.ntabi.kr/Product/Views?k=1JP2016133	http://www.ntabi.kr/Product/Views?k=1JP2016133	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20161332016692137335155.jpg		일본	큐슈	자유여행	부관훼리	50001645												엔타비				"시모노세키ㅣ기타큐슈ㅣ고쿠라ㅣ야마구치ㅣ일본ㅣ최저가 77,000원ㅣ유류할증료 변경가능ㅣ성인1인기준요금"						부관훼리ㅣ엔타비ㅣ왕복승선권ㅣ시모노세키ㅣ고쿠라ㅣ리버워크ㅣ코쿠라성ㅣ가라토시장						0			1인1개 슬리퍼 ^ 1인1개110V ^ 시모노세키관광자료 ^ 기타규슈관광자료 ^ 돈키호테할인쿠폰					I	2018-02-08 16:50:30
1JP2016113 	[무.료. 야경버스투어★숙박자한정] 부관훼리 3박4일 자유여행	87000	87000		http://www.ntabi.kr/Product/Views?k=1JP2016113	http://www.ntabi.kr/Product/Views?k=1JP2016113	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP2016113201710251342147575.jpg		일본	큐슈	자유여행	부관훼리	50001645												엔타비				"시모노세키ㅣ기타큐슈ㅣ고쿠라ㅣ야마구치ㅣ일본ㅣ최저가 87,000원ㅣ유류할증료 변경가능ㅣ성인1인기준요금"						부관훼리ㅣ엔타비ㅣ왕복승선권ㅣ시모노세키ㅣ고쿠라ㅣ리버워크ㅣ코쿠라성ㅣ가라토시장						0			1인1개 슬리퍼 ^ 1인1개110V ^ 시모노세키관광자료 ^ 기타규슈관광자료 ^ 돈키호테할인쿠폰					I	2018-02-08 16:50:30
